state,signals_received,pct_total_signals,cases_identified,pct_total_cases,year,state_abbr,state_fips,signals_per_case,raw_case_rank
Alabama,231,0.71,105,0.87,2024,AL,01,2.2,30
Alaska,46,0.14,22,0.18,2024,AK,02,2.09,46
Arizona,550,1.7,300,2.5,2024,AZ,04,1.83,10
Arkansas,170,0.53,80,0.67,2024,AR,05,2.12,35
California,3378,10.46,1734,14.45,2024,CA,06,1.95,1
Colorado,465,1.44,185,1.54,2024,CO,08,2.51,19
Connecticut,167,0.52,96,0.8,2024,CT,09,1.74,32
Delaware,51,0.16,32,0.27,2024,DE,10,1.59,44
District of Columbia,135,0.42,55,0.46,2024,DC,11,2.45,38
Florida,1830,5.66,832,6.93,2024,FL,12,2.2,3
Georgia,876,2.71,342,2.85,2024,GA,13,2.56,6
Hawaii,161,0.5,55,0.46,2024,HI,15,2.93,38
Idaho,72,0.22,32,0.27,2024,ID,16,2.25,44
Illinois,792,2.45,385,3.21,2024,IL,17,2.06,5
Indiana,293,0.91,154,1.28,2024,IN,18,1.9,22
Iowa,166,0.51,88,0.73,2024,IA,19,1.89,33
Kansas,198,0.61,126,1.05,2024,KS,20,1.57,26
Kentucky,278,0.86,139,1.16,2024,KY,21,2.0,23
Louisiana,266,0.82,133,1.11,2024,LA,22,2.0,25
Maine,88,0.27,41,0.34,2024,ME,23,2.15,41
Maryland,359,1.11,179,1.49,2024,MD,24,2.01,20
Massachusetts,288,0.89,115,0.96,2024,MA,25,2.5,28
Michigan,764,2.36,340,2.83,2024,MI,26,2.25,7
Minnesota,229,0.71,83,0.69,2024,MN,27,2.76,34
Mississippi,303,0.94,195,1.62,2024,MS,28,1.55,18
Missouri,696,2.15,272,2.27,2024,MO,29,2.56,12
Montana,84,0.26,43,0.36,2024,MT,30,1.95,40
Nebraska,148,0.46,71,0.59,2024,NE,31,2.08,37
Nevada,418,1.29,236,1.97,2024,NV,32,1.77,15
New Hampshire,45,0.14,22,0.18,2024,NH,33,2.05,46
New Jersey,884,2.74,269,2.24,2024,NJ,34,3.29,14
New Mexico,143,0.44,78,0.65,2024,NM,35,1.83,36
New York,1191,3.69,570,4.75,2024,NY,36,2.09,4
North Carolina,638,1.97,301,2.51,2024,NC,37,2.12,9
North Dakota,44,0.14,21,0.17,2024,ND,38,2.1,48
Ohio,671,2.08,334,2.78,2024,OH,39,2.01,8
Oklahoma,255,0.79,125,1.04,2024,OK,40,2.04,27
Oregon,368,1.14,160,1.33,2024,OR,41,2.3,21
Pennsylvania,641,1.98,287,2.39,2024,PA,42,2.23,11
Rhode Island,30,0.09,19,0.16,2024,RI,44,1.58,49
South Carolina,267,0.83,136,1.13,2024,SC,45,1.96,24
South Dakota,75,0.23,34,0.28,2024,SD,46,2.21,43
Tennessee,428,1.32,213,1.77,2024,TN,47,2.01,17
Texas,2418,7.48,1360,11.33,2024,TX,48,1.78,2
Utah,196,0.61,99,0.82,2024,UT,49,1.98,31
Vermont,26,0.08,15,0.12,2024,VT,50,1.73,51
Virginia,661,2.05,228,1.9,2024,VA,51,2.9,16
Washington,659,2.04,271,2.26,2024,WA,53,2.43,13
West Virginia,66,0.2,38,0.32,2024,WV,54,1.74,42
Wisconsin,277,0.86,111,0.92,2024,WI,55,2.5,29
Wyoming,29,0.09,17,0.14,2024,WY,56,1.71,50
