state,signals_received,pct_total_signals,cases_identified,pct_total_cases,year,state_abbr,state_fips,signals_per_case,raw_case_rank,state_name_census_x,population_2024,signals_per_100k,cases_per_100k,cases_per_100k_rank,signals_per_100k_rank,rank_change_after_adjustment,state_name_census_y,median_household_income,poverty_rate,unemployment_rate,higher_reporting_rate
Alabama,231,0.71,105,0.87,2024,AL,01,2.2,30,Alabama,5086768,4.54,2.06,45,43,-15,Alabama,63999,15.6,4.7,False
Alaska,46,0.14,22,0.18,2024,AK,02,2.09,46,Alaska,735706,6.25,2.99,25,24,21,Alaska,92788,10.1,5.9,False
Arizona,550,1.7,300,2.5,2024,AZ,04,1.83,10,Arizona,7378838,7.45,4.07,8,19,2,Arizona,79964,12.5,5.1,True
Arkansas,170,0.53,80,0.67,2024,AR,05,2.12,35,Arkansas,3049391,5.57,2.62,38,35,-3,Arkansas,60773,16.0,4.9,False
California,3378,10.46,1734,14.45,2024,CA,06,1.95,1,California,39287377,8.6,4.41,5,8,-4,California,99122,12.0,6.6,True
Colorado,465,1.44,185,1.54,2024,CO,08,2.51,19,Colorado,5862189,7.93,3.16,18,14,1,Colorado,95470,9.4,4.6,False
Connecticut,167,0.52,96,0.8,2024,CT,09,1.74,32,Connecticut,3624508,4.61,2.65,37,42,-5,Connecticut,95781,10.0,5.6,False
Delaware,51,0.16,32,0.27,2024,DE,10,1.59,44,Delaware,1021191,4.99,3.13,19,38,25,Delaware,84954,10.4,5.1,False
District of Columbia,135,0.42,55,0.46,2024,DC,11,2.45,38,District of Columbia,681294,19.82,8.07,1,1,37,District of Columbia,109870,15.4,6.3,True
Florida,1830,5.66,832,6.93,2024,FL,12,2.2,3,Florida,22416077,8.16,3.71,13,11,-10,Florida,74568,12.6,4.8,True
Georgia,876,2.71,342,2.85,2024,GA,13,2.56,6,Georgia,10940407,8.01,3.13,19,12,-13,Georgia,77353,13.4,5.1,False
Hawaii,161,0.5,55,0.46,2024,HI,15,2.93,38,Hawaii,1445235,11.14,3.81,10,4,28,Hawaii,100389,10.0,4.9,True
Idaho,72,0.22,32,0.27,2024,ID,16,2.25,44,Idaho,1934262,3.72,1.65,48,48,-4,Idaho,77800,10.6,3.7,False
Illinois,792,2.45,385,3.21,2024,IL,17,2.06,5,Illinois,12694798,6.24,3.03,23,25,-18,Illinois,83390,11.8,5.8,False
Indiana,293,0.91,154,1.28,2024,IN,18,1.9,22,Indiana,6851073,4.28,2.25,42,44,-20,Indiana,71957,12.3,4.3,False
Iowa,166,0.51,88,0.73,2024,IA,19,1.89,33,Iowa,3210507,5.17,2.74,35,36,-2,Iowa,75059,11.1,3.6,False
Kansas,198,0.61,126,1.05,2024,KS,20,1.57,26,Kansas,2947197,6.72,4.28,7,21,19,Kansas,74275,11.3,3.9,True
Kentucky,278,0.86,139,1.16,2024,KY,21,2.0,23,Kentucky,4534824,6.13,3.07,22,26,1,Kentucky,63726,16.1,4.9,False
Louisiana,266,0.82,133,1.11,2024,LA,22,2.0,25,Louisiana,4611961,5.77,2.88,29,32,-4,Louisiana,60756,18.9,6.3,False
Maine,88,0.27,41,0.34,2024,ME,23,2.15,41,Maine,1387817,6.34,2.95,26,22,15,Maine,74733,10.7,3.8,False
Maryland,359,1.11,179,1.49,2024,MD,24,2.01,20,Maryland,6206011,5.78,2.88,29,30,-9,Maryland,103678,9.4,4.9,False
Massachusetts,288,0.89,115,0.96,2024,MA,25,2.5,28,Massachusetts,7044056,4.09,1.63,49,45,-21,Massachusetts,103960,10.0,5.2,False
Michigan,764,2.36,340,2.83,2024,MI,26,2.25,7,Michigan,10077761,7.58,3.37,17,16,-10,Michigan,72875,13.2,5.7,False
Minnesota,229,0.71,83,0.69,2024,MN,27,2.76,34,Minnesota,5739445,3.99,1.45,51,47,-17,Minnesota,89062,9.3,4.1,False
Mississippi,303,0.94,195,1.62,2024,MS,28,1.55,18,Mississippi,2946779,10.28,6.62,3,5,15,Mississippi,56447,18.9,5.8,True
Missouri,696,2.15,272,2.27,2024,MO,29,2.56,12,Missouri,6191814,11.24,4.39,6,3,6,Missouri,70702,12.6,4.0,True
Montana,84,0.26,43,0.36,2024,MT,30,1.95,40,Montana,1116875,7.52,3.85,9,17,31,Montana,72509,11.5,3.6,True
Nebraska,148,0.46,71,0.59,2024,NE,31,2.08,37,Nebraska,1978707,7.48,3.59,15,18,22,Nebraska,76475,10.6,3.0,False
Nevada,418,1.29,236,1.97,2024,NV,32,1.77,15,Nevada,3184612,13.13,7.41,2,2,13,Nevada,78260,12.4,7.0,True
New Hampshire,45,0.14,22,0.18,2024,NH,33,2.05,46,New Hampshire,1394868,3.23,1.58,50,50,-4,New Hampshire,99031,7.2,3.3,False
New Jersey,884,2.74,269,2.24,2024,NJ,34,3.29,14,New Jersey,9343809,9.46,2.88,29,6,-15,New Jersey,103556,9.7,6.3,False
New Mexico,143,0.44,78,0.65,2024,NM,35,1.83,36,New Mexico,2120246,6.74,3.68,14,20,22,New Mexico,64059,17.8,6.0,False
New York,1191,3.69,570,4.75,2024,NY,36,2.09,4,New York,19852366,6.0,2.87,32,28,-28,New York,85974,14.0,6.4,False
North Carolina,638,1.97,301,2.51,2024,NC,37,2.12,9,North Carolina,10730404,5.95,2.81,34,29,-25,North Carolina,72388,13.0,4.7,False
North Dakota,44,0.14,21,0.17,2024,ND,38,2.1,48,North Dakota,784841,5.61,2.68,36,34,12,North Dakota,76657,10.8,2.8,False
Ohio,671,2.08,334,2.78,2024,OH,39,2.01,8,Ohio,11810293,5.68,2.83,33,33,-25,Ohio,71389,13.3,4.8,False
Oklahoma,255,0.79,125,1.04,2024,OK,40,2.04,27,Oklahoma,4028634,6.33,3.1,21,23,6,Oklahoma,65039,15.3,5.0,False
Oregon,368,1.14,160,1.33,2024,OR,41,2.3,21,Oregon,4254293,8.65,3.76,11,7,10,Oregon,83011,11.9,5.4,True
Pennsylvania,641,1.98,287,2.39,2024,PA,42,2.23,11,Pennsylvania,13018639,4.92,2.2,43,40,-32,Pennsylvania,77971,11.7,5.3,False
Rhode Island,30,0.09,19,0.16,2024,RI,44,1.58,49,Rhode Island,1101801,2.72,1.72,47,51,2,Rhode Island,87796,11.2,5.8,False
South Carolina,267,0.83,136,1.13,2024,SC,45,1.96,24,South Carolina,5296225,5.04,2.57,40,37,-16,South Carolina,69324,14.1,4.9,False
South Dakota,75,0.23,34,0.28,2024,SD,46,2.21,43,South Dakota,907428,8.27,3.75,12,10,31,South Dakota,75081,11.9,2.9,True
Tennessee,428,1.32,213,1.77,2024,TN,47,2.01,17,Tennessee,7066383,6.06,3.01,24,27,-7,Tennessee,69595,13.8,4.7,False
Texas,2418,7.48,1360,11.33,2024,TX,48,1.78,2,Texas,30188424,8.01,4.51,4,12,-2,Texas,78476,13.8,5.3,True
Utah,196,0.61,99,0.82,2024,UT,49,1.98,31,Utah,3392331,5.78,2.92,27,30,4,Utah,95166,8.5,3.6,False
Vermont,26,0.08,15,0.12,2024,VT,50,1.73,51,Vermont,647106,4.02,2.32,41,46,10,Vermont,81203,10.1,3.6,False
Virginia,661,2.05,228,1.9,2024,VA,51,2.9,16,Virginia,8705170,7.59,2.62,38,15,-22,Virginia,93170,9.9,4.3,False
Washington,659,2.04,271,2.26,2024,WA,53,2.43,13,Washington,7816116,8.43,3.47,16,9,-3,Washington,98141,9.9,5.1,False
West Virginia,66,0.2,38,0.32,2024,WV,54,1.74,42,West Virginia,1778373,3.71,2.14,44,49,-2,West Virginia,59608,16.7,5.4,False
Wisconsin,277,0.86,111,0.92,2024,WI,55,2.5,29,Wisconsin,5914872,4.68,1.88,46,41,-17,Wisconsin,77485,10.6,3.2,False
Wyoming,29,0.09,17,0.14,2024,WY,56,1.71,50,Wyoming,582397,4.98,2.92,27,39,23,Wyoming,76176,10.5,3.7,False
