state,signals_received,pct_total_signals,cases_identified,pct_total_cases,year,state_abbr,state_fips,signals_per_case,raw_case_rank,state_name_census_x,population_2024,signals_per_100k,cases_per_100k,cases_per_100k_rank,signals_per_100k_rank,rank_change_after_adjustment,state_name_census_y,median_household_income,poverty_rate,unemployment_rate,higher_reporting_rate,federal_awards,funded_organizations,total_award_value,organizations_per_1m,awards_per_1m,cases_per_funded_organization,higher_reporting,lower_resource_density,resource_pressure_signal,resource_position
Alabama,231,0.71,105,0.87,2024,AL,01,2.2,30,Alabama,5086768,4.54,2.06,45,43,-15,Alabama,63999,15.6,4.7,False,1.0,1.0,681730.84,0.19658848211673896,0.19658848211673896,105.0,False,True,False,Lower Reporting + Lower Resources
Alaska,46,0.14,22,0.18,2024,AK,02,2.09,46,Alaska,735706,6.25,2.99,25,24,21,Alaska,92788,10.1,5.9,False,6.0,4.0,3976913.58,5.436954435603353,8.155431653405028,5.5,False,False,False,Lower Reporting + Higher Resources
Arizona,550,1.7,300,2.5,2024,AZ,04,1.83,10,Arizona,7378838,7.45,4.07,8,19,2,Arizona,79964,12.5,5.1,True,8.0,6.0,4898218.42,0.8131361604632058,1.0841815472842742,50.0,True,False,False,Higher Reporting + Higher Resources
Arkansas,170,0.53,80,0.67,2024,AR,05,2.12,35,Arkansas,3049391,5.57,2.62,38,35,-3,Arkansas,60773,16.0,4.9,False,3.0,3.0,2450000.0,0.9838029954177736,0.9838029954177736,26.666666666666668,False,False,False,Lower Reporting + Higher Resources
California,3378,10.46,1734,14.45,2024,CA,06,1.95,1,California,39287377,8.6,4.41,5,8,-4,California,99122,12.0,6.6,True,61.0,39.0,45858236.65,0.9926852586773609,1.5526615584440775,44.46153846153846,True,False,False,Higher Reporting + Higher Resources
Colorado,465,1.44,185,1.54,2024,CO,08,2.51,19,Colorado,5862189,7.93,3.16,18,14,1,Colorado,95470,9.4,4.6,False,5.0,5.0,3023943.56,0.8529237116032936,0.8529237116032936,37.0,False,False,False,Lower Reporting + Higher Resources
Connecticut,167,0.52,96,0.8,2024,CT,09,1.74,32,Connecticut,3624508,4.61,2.65,37,42,-5,Connecticut,95781,10.0,5.6,False,10.0,7.0,6954988.15,1.9312966063256034,2.758995151893719,13.714285714285714,False,False,False,Lower Reporting + Higher Resources
Delaware,51,0.16,32,0.27,2024,DE,10,1.59,44,Delaware,1021191,4.99,3.13,19,38,25,Delaware,84954,10.4,5.1,False,0.0,0.0,0.0,0.0,0.0,,False,True,False,Lower Reporting + Lower Resources
District of Columbia,135,0.42,55,0.46,2024,DC,11,2.45,38,District of Columbia,681294,19.82,8.07,1,1,37,District of Columbia,109870,15.4,6.3,True,9.0,4.0,8490525.18,5.87118043018139,13.210155967908127,13.75,True,False,False,Higher Reporting + Higher Resources
Florida,1830,5.66,832,6.93,2024,FL,12,2.2,3,Florida,22416077,8.16,3.71,13,11,-10,Florida,74568,12.6,4.8,True,19.0,15.0,13425766.22,0.66916258362246,0.8476059392551158,55.46666666666667,True,False,False,Higher Reporting + Higher Resources
Georgia,876,2.71,342,2.85,2024,GA,13,2.56,6,Georgia,10940407,8.01,3.13,19,12,-13,Georgia,77353,13.4,5.1,False,12.0,7.0,9009798.42,0.6398299441693531,1.0968513328617482,48.857142857142854,False,False,False,Lower Reporting + Higher Resources
Hawaii,161,0.5,55,0.46,2024,HI,15,2.93,38,Hawaii,1445235,11.14,3.81,10,4,28,Hawaii,100389,10.0,4.9,True,4.0,3.0,2144594.16,2.075786982739831,2.7677159769864415,18.333333333333332,True,False,False,Higher Reporting + Higher Resources
Idaho,72,0.22,32,0.27,2024,ID,16,2.25,44,Idaho,1934262,3.72,1.65,48,48,-4,Idaho,77800,10.6,3.7,False,3.0,2.0,1850000.0,1.0339860887511618,1.5509791331267428,16.0,False,False,False,Lower Reporting + Higher Resources
Illinois,792,2.45,385,3.21,2024,IL,17,2.06,5,Illinois,12694798,6.24,3.03,23,25,-18,Illinois,83390,11.8,5.8,False,18.0,16.0,12204928.27,1.2603587705767354,1.4179036168988273,24.0625,False,False,False,Lower Reporting + Higher Resources
Indiana,293,0.91,154,1.28,2024,IN,18,1.9,22,Indiana,6851073,4.28,2.25,42,44,-20,Indiana,71957,12.3,4.3,False,1.0,1.0,600000.0,0.14596253754703828,0.14596253754703828,154.0,False,True,False,Lower Reporting + Lower Resources
Iowa,166,0.51,88,0.73,2024,IA,19,1.89,33,Iowa,3210507,5.17,2.74,35,36,-2,Iowa,75059,11.1,3.6,False,2.0,2.0,944134.59,0.6229545676119068,0.6229545676119068,44.0,False,False,False,Lower Reporting + Higher Resources
Kansas,198,0.61,126,1.05,2024,KS,20,1.57,26,Kansas,2947197,6.72,4.28,7,21,19,Kansas,74275,11.3,3.9,True,2.0,2.0,814511.77,0.678610897065924,0.678610897065924,63.0,True,False,False,Higher Reporting + Higher Resources
Kentucky,278,0.86,139,1.16,2024,KY,21,2.0,23,Kentucky,4534824,6.13,3.07,22,26,1,Kentucky,63726,16.1,4.9,False,5.0,4.0,2228560.08,0.8820628981411407,1.1025786226764258,34.75,False,False,False,Lower Reporting + Higher Resources
