internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,CFDA Number,Description,Place of Performance State Code,Place of Performance City Code,awarding_agency_id,agency_slug,generated_internal_id,active_during_fy2024
231635732,15POVC23GK00905HT,"ICF INCORPORATED, L.L.C.",2023-10-01,2026-09-30,2999942.0,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING (HT) IS A PROBLEM THAT REQUIRES A STRATEGIC, ORGANIZED, AND SUSTAINED COLLABORATIVE, MULTIDISCIPLINARY APPROACH. THE ICF-PROJECT ROADMAP (ICF-PRM) TEAM WILL MENTOR AND ASSIST CURRENT AND FUTURE OVC-FUNDED TFS ON THE CORE ELEMENTS OF A HIGH-FUNCTIONING TF WITH NATIONALLY RECOGNIZED PARTNERS AND ADVISORS THAT REPRESENT ALL DISCIPLINES OF AN ECM-TF. 

TO ACCOMPLISH THIS, ICF-PR WILL ASSESS STRENGTHS AND CHALLENGES FACED BY OVC HT ECM TF GRANTEES AND PROVIDE HT ECM TFS WITH WELL-MATCHED PEER LIAISONS THROUGH OUR TASK FORCE LIAISONS (TFLS). WE WILL USE THE ACCUMULATED TOOLS AND EXPERIENCES OF ICF, FEDERAL AGENCIES, OTHER TTA PROVIDERS AND THE FIELD TO STRENGTHEN AND SOLIDIFY TF OPERATIONS BY LEADING IN-PERSON AND VIRTUAL MEETINGS, TRAININGS, AND CONVENINGS.

CORE ELEMENTS OF THE PROJECT WILL INCLUDE: (1) A CADRE OF VETTED TFLS, WORKING GROUPS, SPECIAL ADVISORS, AND PARTNERS WHO HAVE DEMONSTRATED EXPERIENCE IN LAW ENFORCEMENT, PROSECUTION, AND CROSS-SYSTEM MULTIDISCIPLINARY COLLABORATIVE STRATEGIES, RETHINKING ALTERNATIVES TO JUSTICE, INCREASING LABOR TRAFFICKING RESPONSES AND CENTERING ALL WORK WITH AN EQUITY LENS TO PROVIDE SUSTAINED COACHING TO ECM TFS OVER THE AWARD PERIOD, (2) SITE ASSESSMENTS TO HELP SUPPORT SUCCESSFUL GRANT ADMINISTRATION AND PROGRAM OUTCOMES, (3) CONVENING OF WORKING GROUPS, PARTNERS AND FIELD COACHING TO IDENTIFY GAPS AND EMERGING ISSUES AS WELL AS PINPOINT TTA SOLUTIONS, (4) REAL TIME TTA DELIVERED WITH PEER-TO-PEER SUPPORT AND A DIVERSE GROUP OF THOUGHT LEADERS AND INNOVATORS TO ASSIST IN TA AVAILABLE TO ALL ECM TFS AND LASTLY, (5) DEVELOPMENT AND DELIVERY OF TOOLS AND RELATED MATERIALS TO SUPPORT CONTINUED LEARNING AND KNOWLEDGE EXPANSION SURROUNDING EVIDENCE-BASED PRACTICES.",VA,VA66672,252,department-of-justice,ASST_NON_15POVC23GK00905HT_015,True
231634693,15POVC21GK02595HT,"ICF INCORPORATED, L.L.C.",2021-10-01,2025-09-30,2997522.03,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING (HT) IS A PROBLEM THAT MUST BE ADDRESSED BY SUPPORTING ROBUST TRAINING AND TECHNICAL ASSISTANCE (TTA) TO GRANTEE SERVICE PROVIDERS (GSPS) WHO ARE DEVELOPING, STRENGTHENING, OR EXPANDING PROGRAMS FOR VICTIMS OF HT, AS DEFINED BY THE TRAFFICKING VICTIMS PROTECTION ACT (TVPA) OF 2000. CF PROPOSES USING AN INCLUSIVE, ADAPTIVE TTA FRAMEWORK TO STRENGTHEN AND EXPAND THE SKILLS, EXPERTISE, AND CAPACITY OF HT GSPS. ICF WILL SUPPORT OVC’S HT GSPS AND THEIR PARTNERS IN MEETING AWARD GOALS AND OBJECTIVES AND PROVIDE PRACTITIONER-DRIVEN, EVIDENCE-BASED TTA ON DELIVERING TRAUMA-INFORMED SERVICES TO VICTIMS ACROSS THE COUNTRY AND U.S. TERRITORIES. ICF WILL ACCOMPLISH THIS BY ESTABLISHING OVC’S HUMAN TRAFFICKING COLLECTIVE (HTC). HTC WILL WORK CLOSELY WITH OVC, FEDERAL HT TTA PROVIDERS, AND KEY STAKEHOLDERS TO ADDRESS THE NEEDS OF GRANTEES AND THE BROADER ANTITRAFFICKING FIELD. HTC WILL DELIVER IN-DEPTH, PROACTIVE, AND TAILORED SUPPORT TO OVC GRANTEES THAT PROVIDE DIRECT SERVICES TO VICTIMS OF HT. HTC WILL: (1) PROVIDE TTA TO OVC GRANTEES IMPLEMENTING HT VICTIM SERVICE AWARDS, (2) DELIVER INTENSIVE PROACTIVE AND RESPONSIVE SUPPORT TO OVC GRANTEES IN THE FIRST YEAR OF THEIR NEW VICTIM SERVICE AWARDS, AND (3) PROVIDE ONGOING SUPPORT FOR GRANTEES IMPLEMENTING EXISTING AWARDS.",VA,VA66672,252,department-of-justice,ASST_NON_15POVC21GK02595HT_015,True
234950417,2020VTBXK002,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,2020-10-01,2024-09-30,2500000.0,Department of Justice,Office of Justice Programs,16.320,IACP HUMAN TRAFFICKING TRAINING AND TECHNICAL ASSISTANCE,VA,VA01000,252,department-of-justice,ASST_NON_2020VTBXK002_015,True
231635734,15POVC23GK00929HT,COALITION TO ABOLISH SLAVERY & TRAFFICKING,2023-10-01,2027-06-30,2000000.0,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING VICTIMS HAVE COMPLEX LEGAL NEEDS BUT DUE TO A LACK IN IDENTIFICATION, MANY CANNOT ACCESS THE FULL SPECTRUM OF LEGAL RELIEF AVAILABLE TO THEM. EVEN WHEN VICTIMS ARE IDENTIFIED, THE DEMAND FOR LEGAL SERVICES OUTPACES THE NUMBER OF LEGAL PROVIDERS IN THE COUNTRY WHO ARE ADEQUATELY TRAINED IN TRAUMA-INFORMED AND RACIALLY EQUITABLE SERVICES. AS A RESULT, LEGAL SERVICES ARE AN UNMET NEED OF TRAFFICKING VICTIMS AND COMPRESSED TRAINING ON THE LEGAL NEEDS OF AND ETHICAL PROVISION SERVICES TO TRAFFICKING VICTIMS IS IN HIGH DEMAND. 

THROUGH ITS EXPERT LEGAL AND SOCIAL SERVICES STAFF, THE COALITION TO ABOLISH SLAVERY AND TRAFFICKING (CAST) PROPOSES TO CONTINUE ITS COMPREHENSIVE, NATIONAL, ACCESSIBLE AND INCLUSIVE TRAINING AND TECHNICAL ASSISTANCE (TTA) PROJECT TO STRENGTHEN LEGAL SERVICE PROVIDERS, PRO BONO ATTORNEYS, AND SOCIAL SERVICE PROVIDERS CAPACITY TO IDENTIFY AND PROVIDE COMPREHENSIVE LEGAL SERVICES TO VICTIMS OF HUMAN TRAFFICKING THROUGH A TRAUMA-INFORMED AND RACE EQUITY LENS. IN PARTNERSHIP WITH THE OFFICE FOR VICTIMS OF CRIME, CAST WILL BUILD ON OVER 15 YEARS OF PROVIDING TTA TO DEEPEN AND EXPAND ITS NATIONAL TTA EFFORTS TO INCREASE TRAFFICKING VICTIMS ACCESS TO QUALITY COMPREHENSIVE LEGAL SERVICES. ADDITIONALLY, CAST WILL LEVERAGE COLLABORATION WITH MANY NATIONAL PARTNERS LIKE FREEDOM NETWORK USAS SURVIVOR REENTRY PROJECT TO PROVIDE COMPREHENSIVE TTA.

THE PROJECT WILL PROVIDE COMPREHENSIVE LIVE AND ON-DEMAND TRAINING TO LEGAL AND SOCIAL SERVICE PROVIDERS INCLUDING ANTI-TRAFFICKING LAWYERING TRAINING MODULE 2, INTENSIVE T VISA DECLARATION WORKSHOPS, AND VICTIMS RIGHTS ADVOCACY FOR SOCIAL SERVICE PROVIDERS, AS WELL AS SELF-PACED ONLINE TRAINING TO MANY MORE ATTORNEYS AND SOCIAL SERVICE PROVIDERS NATIONALLY THROUGH AN ADVANCED LEARNING MANAGEMENT SYSTEM FOR ASYNCHRONOUS AND SYNCHRONOUS LEARNING. CAST WILL ALSO CONTINUE TO PROVIDE INDIVIDUAL TECHNICAL ASSISTANCE TO 40 LEGAL AND SOCIAL SERVICE PROFESSIONALS A MONTH, AS WELL AS WEEKLY LEGAL WORKING GROUP CALLS AND MONTHLY OFFICE HOURS FOR SOCIAL SERVICE PROVIDERS. CAST WILL SUBGRANT TO FREEDOM NETWORK USA TO SUPPORT TTA ON CRIMINAL RECORD RELIEF, AND TO THE NATIONAL CRIME VICTIMS LAW INSTITUTE WHO WILL SUPPORTTTA ON CRIME VICTIMS RIGHTS. WHILE TARGETED BENEFICIARIES ARE LEGAL AND SOCIAL SERVICE PROVIDERS, ANYONE INTERESTED IN INCREASING KNOWLEDGE IN THIS AREA WILL BE ABLE TO ACCESS THE CAST TTA WEBSITE FOR MATERIALS ON POPULAR TOPICS.

THROUGH THIS PROJECT, CAST WILL HAVE THE OPPORTUNITY TO CONTINUE TO TRANSFORM THE LANDSCAPE OF TRAINED LEGAL SERVICE PROVIDERS ASSISTING VICTIMS OF HUMAN TRAFFICKING AND TO VASTLY IMPROVE VICTIMS LIVES.",CA,CA44000,252,department-of-justice,ASST_NON_15POVC23GK00929HT_015,True
231635787,15POVC23GK04059HT,FREEDOM NETWORK USA,2023-10-01,2027-09-30,1999999.0,Department of Justice,Office of Justice Programs,16.320,"THROUGH THE HOUSING TTA PROJECT, FREEDOM NETWORK USA WILL PROVIDE TRAINING AND TECHNICAL ASSISTANCE (TTA) TO VICTIM SERVICE AND HOUSING PROVIDERS (INCLUDING OVC HOUSING GRANTEES) ON HOUSING OPTIONS AVAILABLE TO SURVIVORS OF TRAFFICKING AND SUPPORT TO IMPLEMENT LOW-BARRIER, TRAUMA-INFORMED, VICTIM-CENTERED, CULTURALLY-RESPONSIVE HOUSING POLICIES AND PRACTICES THAT PRIORITIZE THE AUTONOMY AND PROTECT SURVIVORS CONFIDENTIALITY AND SAFETY. THE PROJECT WILL FACILITATE COLLABORATION AMONG ANTI-TRAFFICKING SERVICE PROVIDERS, COMMUNITY PARTNERS, AND OTHER STAKEHOLDERS TO ENHANCE IDENTIFICATION, REFERRALS, HOUSING ACCESSIBILITY AND SECURITY, AND SERVICE DELIVERY.",DC,DC50000,252,department-of-justice,ASST_NON_15POVC23GK04059HT_015,True
234950153,2020VMBX0008,DEPARTMENT OF CRIMINAL JUSTICE SERVICES VIRGINIA,2021-01-01,2023-12-31,1633437.2,Department of Justice,Office of Justice Programs,16.320,ASSISTANCE PROGRAMS FOR MINOR VICTIMS OF SEX TRAFFICKING,VA,VA67000,252,department-of-justice,ASST_NON_2020VMBX0008_015,True
234950418,2020VTBXK003,"ICF INCORPORATED, L.L.C.",2020-10-01,2024-09-30,1495003.73,Department of Justice,Office of Justice Programs,16.320,HUMAN TRAFFICKING TRAINING AND TECHNICAL ASSISTANCE PROGRAM: CATEGORY 1: ECM TASK FORCES: CAPACITY BUILDING AND IMPLEMENTATION,VA,VA66672,252,department-of-justice,ASST_NON_2020VTBXK003_015,True
234946850,2020MUMU0024,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,2020-10-01,2024-09-30,1466796.56,Department of Justice,Office of Justice Programs,16.320,NEBRASKA SUPPORT FOR YOUTH VICTIMS OF HUMAN TRAFFICKING,NE,NE28000,252,department-of-justice,ASST_NON_2020MUMU0024_015,True
231635680,15POVC23GG04053HT,NORTH COUNTY LIFELINE,2023-10-01,2026-09-30,1200000.0,Department of Justice,Office of Justice Programs,16.320,"NORTH COUNTY LIFELINES PROJECT LIFE HOUSING ASSISTANCE PROGRAM WILL PROVIDE UP TO 24 MONTHS OF TRANSITIONAL HOUSING FOR ANY VICTIM OF HUMAN TRAFFICKING IN SAN DIEGO COUNTY, CALIFORNIA REGARDLESS OF AGE, GENDER, SEXUAL ORIENTATION, TRAFFICKING TYPE, OR PARENTING STATUS. THE PROGRAM UTILIZES A HOUSING FIRST MODEL. THE REQUESTED FUNDING WILL ALLOW LIFELINE TO EXPAND SERVICES BY ADDING MORE HOUSING UNITS, TWO SPECIALIZED STAFF AND A NEW SUBCONTRACTOR, SERVING APPROXIMATELY 100 VICTIMS OF SEX AND/OR LABOR TRAFFICKING OVER THE AWARD PERIOD. IN ADDITION TO HOUSING, CLIENTS MAY ELECT TO PARTICIPATE IN SUPPORTIVE SERVICES INCLUDING, BUT NOT LIMITED TO ONGOING CASE MANAGEMENT, MEDICAL AND DENTAL CARE, LEGAL ASSISTANCE, LITERACY/GED/EDUCATION ASSISTANCE, LGBTQ SERVICES, SUBSTANCE ABUSE TREATMENT, TRAUMA COUNSELING, LIFE SKILL TRAINING, AND EMPLOYMENT AND FINANCIAL COACHING. LIFELINE WILL ALSO PROVIDE AWARENESS TRAININGS FOR AN ESTIMATED 750 PROFESSIONALS AND COMMUNITY MEMBERS WHO MAY ENCOUNTER VICTIMS THROUGH THEIR LINE OF WORK. LIFELINE WILL PARTNER WITH ADULTING HIGHWAY, WHO WILL PROVIDE ADULTING LESSONS TO PROGRAM PARTICIPANTS TO MAXIMIZE THEIR ABILITY TO BE SUCCESSFUL ONCE THEY TRANSITION TO PERMANENT HOUSING.",CA,CA82996,252,department-of-justice,ASST_NON_15POVC23GG04053HT_015,True
231635679,15POVC23GG04052HT,"INTERNATIONAL RESCUE COMMITTEE, INC.",2023-10-01,2027-03-31,1200000.0,Department of Justice,Office of Justice Programs,16.320,"THE INTERNATIONAL RESCUE COMMITTEE, INC IN PHOENIX (IRC PHOENIX) WILL PROVIDE HOUSING SERVICES TO FOREIGN BORN AND US CITIZEN VICTIMS OF TRAFFICKING THROUGHOUT MARICOPA COUNTY, WITH A FOCUS ON THE PHOENIX METRO AREA. THE IRC PHOENIXS ANTI-TRAFFICKING PROGRAM HAS A HISTORY OF PROMOTING RACIAL EQUITY, REMOVING BARRIERS TO SERVICES, AND PROVIDING OPPORTUNITIES FOR POPULATIONS THAT HAVE BEEN HISTORICALLY UNDERSERVED, MARGINALIZED, AND ADVERSELY AFFECTED BY INEQUALITY. THIS PROJECT WILL ALSO ADDRESS LACK OF SERVICES IN GENERAL, LACK OF CULTURALLY AND LINGUISTICALLY APPROPRIATE SERVICES, AND LACK OF SERVICES THAT FACTOR IN THE UNDERSTANDING AND NEEDS OF SERVICES FOR SURVIVORS, ESPECIALLY FOREIGN NATIONAL SURVIVORS, AND LABOR TRAFFICKING SURVIVORS. THE IRC ANTI-TRAFFICKING PROGRAM WILL OPERATE A SPECIALIZED HOUSING PROGRAM FOR TRAFFICKING VICTIMS IN PARTNERSHIP WITH LOCAL SERVICE PROVIDER PARTNERS (PHOENIX DREAM CENTER (PDC), A NEW LEAF (ANL), NEW LIFE CENTER (NLC),CHRYSALIS SHELTER, SOJOURNER CENTER, AND OTHERS) THAT WILL IMPLEMENT COLLABORATIVE, COORDINATED, AND COMPREHENSIVE ACTIVITIES TO PROVIDE TRAFFICKING SURVIVORS WITH SAFE, STABLE HOUSING AND APPROPRIATE TRAUMA-INFORMED, VICTIM-CENTERED, AND CULTURALLY RESPONSIVE SERVICES IN MARICOPA COUNTY. THE PROJECT WILL SERVE 45 SURVIVORS OF HUMAN TRAFFICKING AND THEIR HOUSEHOLDS ACROSS THE 36-MONTH GRANT PERIOD FOR A MINIMUM OF 3 MONTHS AND MAXIMUM OF 12 MONTHS (UNLESS THEY WANT EXTENDED SERVICES BEYOND 12 MONTHS) AND WILL TARGET UNDERSERVED COMMUNITIES INCLUDING LABOR TRAFFICKING SURVIVORS AND FOREIGN NATIONAL SURVIVORS. HOUSING INTERVENTIONS WILL BE AVAILABLE TO ALL TRAFFICKING SURVIVORS BUT WILL SPECIFICALLY FOCUS ON ADDRESSING THE GAP IN HOUSING SERVICES FOR LABOR TRAFFICKING, MALE, LGBTQ, AND FOREIGN-NATIONAL SURVIVORS. THE HOUSING NAVIGATOR WILL WORK WITH SURVIVORS TO GET CONNECTED TO STABLE AND SAFE HOUSING PLACEMENTS, OFFER ADVOCACY SERVICES IN CONNECTION TO HOUSING NEEDS AND ADDITIONAL SUPPORT.",AZ,AZ27820,252,department-of-justice,ASST_NON_15POVC23GG04052HT_015,True
