state_abbr,federal_awards,funded_organizations,total_award_value
CA,61,39,45858236.65
NY,40,29,24999211.36
IL,18,16,12204928.27
FL,19,15,13425766.22
TX,22,15,15077734.37
VA,16,11,19030142.11
MA,11,9,7639716.18
WA,12,8,8064456.98
NJ,10,8,7106586.33
CT,10,7,6954988.15
MD,9,7,5001306.85
MI,10,7,5885320.84
GA,12,7,9009798.42
OH,13,7,9582685.41
PA,7,6,5083876.4399999995
AZ,8,6,4898218.42
CO,5,5,3023943.56
OK,5,5,2477345.28
MN,7,5,4949636.22
WI,8,5,6115566.0
OR,5,5,3690385.2199999997
AK,6,4,3976913.58
DC,9,4,8490525.18
KY,5,4,2228560.08
NM,7,4,5173914.96
NC,6,4,3642279.55
MO,5,3,3346205.7199999997
TN,4,3,2750791.41
SC,3,3,1944240.0
NV,5,3,3737365.84
MS,3,3,2099977.0
LA,3,3,1966077.63
AR,3,3,2450000.0
HI,4,3,2144594.16
ND,4,3,3249848.0
NE,3,3,2650717.0700000003
ME,2,2,1536559.72
MP,2,2,1300909.0
GU,2,2,1500000.0
ID,3,2,1850000.0
IA,2,2,944134.59
KS,2,2,814511.77
UT,5,2,3773274.25
AL,1,1,681730.84
IN,1,1,600000.0
NH,1,1,583586.0
SD,2,1,1700000.0
RI,1,1,723619.0
VT,1,1,397883.0
WV,1,1,795000.0
