state_name_census,population_2024,state_fips
Alabama,5086768,01
Alaska,735706,02
Arizona,7378838,04
Arkansas,3049391,05
California,39287377,06
Colorado,5862189,08
Connecticut,3624508,09
Delaware,1021191,10
District of Columbia,681294,11
Florida,22416077,12
Georgia,10940407,13
Hawaii,1445235,15
Idaho,1934262,16
Illinois,12694798,17
Indiana,6851073,18
Iowa,3210507,19
Kansas,2947197,20
Kentucky,4534824,21
Louisiana,4611961,22
Maine,1387817,23
Maryland,6206011,24
Massachusetts,7044056,25
Michigan,10077761,26
Minnesota,5739445,27
Mississippi,2946779,28
Missouri,6191814,29
Montana,1116875,30
Nebraska,1978707,31
Nevada,3184612,32
New Hampshire,1394868,33
New Jersey,9343809,34
New Mexico,2120246,35
New York,19852366,36
North Carolina,10730404,37
North Dakota,784841,38
Ohio,11810293,39
Oklahoma,4028634,40
Oregon,4254293,41
Pennsylvania,13018639,42
Rhode Island,1101801,44
South Carolina,5296225,45
South Dakota,907428,46
Tennessee,7066383,47
Texas,30188424,48
Utah,3392331,49
Vermont,647106,50
Virginia,8705170,51
Washington,7816116,53
West Virginia,1778373,54
Wisconsin,5914872,55
Wyoming,582397,56
Puerto Rico,3234309,72
