State,Signals received,% of total signals,Cases identified,% of total cases
Alabama,231,0.71%,105,0.87%
Alaska,46,0.14%,22,0.18%
Arizona,550,1.70%,300,2.50%
Arkansas,170,0.53%,80,0.67%
California,3378,10.46%,1734,14.45%
Colorado,465,1.44%,185,1.54%
Connecticut,167,0.52%,96,0.80%
Delaware,51,0.16%,32,0.27%
District of Columbia,135,0.42%,55,0.46%
Florida,1830,5.66%,832,6.93%
Georgia,876,2.71%,342,2.85%
Guam,0,0.00%,0,0.00%
Hawaii,161,0.50%,55,0.46%
Idaho,72,0.22%,32,0.27%
Illinois,792,2.45%,385,3.21%
Indiana,293,0.91%,154,1.28%
Iowa,166,0.51%,88,0.73%
Kansas,198,0.61%,126,1.05%
Kentucky,278,0.86%,139,1.16%
Louisiana,266,0.82%,133,1.11%
Maine,88,0.27%,41,0.34%
Maryland,359,1.11%,179,1.49%
Massachusetts,288,0.89%,115,0.96%
Michigan,764,2.36%,340,2.83%
Minnesota,229,0.71%,83,0.69%
Mississippi,303,0.94%,195,1.62%
Missouri,696,2.15%,272,2.27%
Montana,84,0.26%,43,0.36%
Nebraska,148,0.46%,71,0.59%
Nevada,418,1.29%,236,1.97%
New Hampshire,45,0.14%,22,0.18%
New Jersey,884,2.74%,269,2.24%
New Mexico,143,0.44%,78,0.65%
New York,1191,3.69%,570,4.75%
North Carolina,638,1.97%,301,2.51%
North Dakota,44,0.14%,21,0.17%
Northern Marianas Islands,0,0.00%,0,0.00%
Ohio,671,2.08%,334,2.78%
Oklahoma,255,0.79%,125,1.04%
Oregon,368,1.14%,160,1.33%
Pennsylvania,641,1.98%,287,2.39%
Puerto Rico,8,0.02%,10,0.08%
Rhode Island,30,0.09%,19,0.16%
South Carolina,267,0.83%,136,1.13%
South Dakota,75,0.23%,34,0.28%
Tennessee,428,1.32%,213,1.77%
Texas,2418,7.48%,1360,11.33%
U.S. Virgin Islands,0,0.00%,0,0.00%
Utah,196,0.61%,99,0.82%
Vermont,26,0.08%,15,0.12%
Virginia,661,2.05%,228,1.90%
Washington,659,2.04%,271,2.26%
West Virginia,66,0.20%,38,0.32%
Wisconsin,277,0.86%,111,0.92%
Wyoming,29,0.09%,17,0.14%
