internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,CFDA Number,Description,Place of Performance State Code,Place of Performance City Code,awarding_agency_id,agency_slug,generated_internal_id
231636291,15POVC24GK02579HT,YOUTH COLLABORATORY INC,2024-10-01,2029-09-30,6000000.0,Department of Justice,Office of Justice Programs,16.320,"THE PURPOSE OF YOUTH COLLABORATORYS NATIONAL (SERVICE AREA) PILOT PROGRAM IS TO DEVELOP AND BUILD THE CAPACITY OF COMMUNITY-BASED ORGANIZATIONS (CBOS) IN UNDERSERVED COMMUNITIESTO PROVIDE SERVICES TO ADOLESCENT AND YOUTH HUMAN TRAFFICKING VICTIMS THROUGH THE PROVISION OF MENTORSHIP AND TRAINING AND TECHNICAL ASSISTANCE (TTA). THIS PROJECT WILL PRIORITIZERURAL AND UNDERSERVED COMMUNITIESINCLUDING INDIGENOUS, UNDOCUMENTED, MALE, AND LABOR TRAFFICKING SURVIVORS.PROJECT ACTIVITIES INCLUDE A NATIONAL CALL TO SELECT CBOS FOR PILOT PARTICIPATION AND SUBAWARDS, BASELINE AND ONGOING ORGANIZATIONAL CAPACITY BUILDING ASSESSMENTS, DEVELOPMENT OF INDIVIDUALIZED ORGANIZATIONAL CAPACITY BUILDING PLANS, GROUP TRAINING, ONE-ON-ONE TECHNICAL ASSISTANCE, PEER-TO-PEER LEARNING, RESOURCE DEVELOPMENT AND DISSEMINATION, ANNUAL SUBAWARDEE GATHERING, NATIONAL LEARNING SERIES, AND ONGOING MONITORING.YOUTH COLLABORATORYS PARTNER AND SUBRECIPIENT, RURAL OPPORTUNITY INSTITUTE, WILL HELP BUILD THE CAPACITY OF RURAL COMMUNITIES TO SUPPORT PEOPLES HEALING FROM GENERATIONAL TRAUMA TO ACHIEVE HEALTH, SAFETY, CONNECTION, AND SELF-DETERMINATION. YOUTH COLLABORATORY WILL ALSO PARTNERWITH OTHER NATIONAL TTA PROVIDERS AND SUBJECT MATTER EXPERTS TOSHARE STRATEGIES AND DISSEMINATE BEST PRACTICES, AND ITS GIRLS ACTION BOARD AND YOUTH CATALYST TEAM, WHO ARE LIVED EXPERIENCE EXPERTS, WILL CONSULT ON THE CONTENT AND PROVIDE TTA.",PA,PA99003,252,department-of-justice,ASST_NON_15POVC24GK02579HT_015
234938705,2019VMBXK052,THE NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,2019-10-01,2022-09-30,3500000.0,Department of Justice,Office of Justice Programs,16.320,THE NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN - RESPONDING TO INSTANCES OF CHILD SEX TRAFFICKING VICTIMIZATION,VA,VA01000,252,department-of-justice,ASST_NON_2019VMBXK052_015
231636257,15POVC24GK00873HT,"ICF INCORPORATED, L.L.C.",2024-10-01,2027-09-30,3499999.0,Department of Justice,Office of Justice Programs,16.320,"ICF INCORPORATED, L.L.C. (ICF) WILL IMPLEMENT A COMPREHENSIVE APPROACH TO ADDRESS HUMAN TRAFFICKING BY PROVIDING ROBUST TRAINING AND TECHNICAL ASSISTANCE (TTA) TO NEW AND EXISTING OVC SERVICES FOR VICTIMS OF HUMAN TRAFFICKING AND OVC INTEGRATED SERVICES FOR MINOR VICTIMS OF HUMAN TRAFFICKING GRANTEES THROUGH THE OVC HUMAN TRAFFICKING COLLECTIVE (HTC). HTC WAS PREVIOUSLY DEVELOPED UNDER ICFS FY21 TRAINING AND TECHNICAL ASSISTANCE FOR HUMAN TRAFFICKING SERVICE PROVIDERS AWARD AND WILL USE AN INCLUSIVE TTA FRAMEWORK TO ENHANCE THE SKILLS AND CAPACITY OF OVC GRANTEES IN ORDER TO STRENGTHEN PROGRAMS FOR ALL SURVIVORS, AS DEFINED BY THE TRAFFICKING VICTIMS PROTECTION ACT (TVPA) OF 2000. ADDITIONALLY, HTC WILL CENTER ITS WORK AROUND THE VOICES OF SURVIVORS, ADDRESSING GAPS IN SERVICES, PARTNERSHIPS, AND SYSTEMIC DYNAMICS IMPACTING THE LARGER ANTI-TRAFFICKING FIELD. TO ACHIEVE THE OBJECTIVES FOR THIS PROGRAM, ICF HAS ASSEMBLED SUBJECT MATTER EXPERTS WITH DIVERSE BACKGROUNDS IN ANTI-TRAFFICKING, TRAUMA-INFORMED AND RESPONSIVE CARE, AND SERVICE DELIVERY, WHO HAVE A DEPTH OF EXPERTISE IN ALL GRANTEE SERVICES FOCUS AREAS. HTC WILL PROVIDE TTA TO PROMOTE A WHOLE PERSON APPROACH IN SERVICE DELIVERY, ENSURE PROACTIVE COLLABORATION WITH OTHER HT TTA PROVIDERS TO PREVENT DUPLICATION AND ENHANCE RESOURCE ACCESSIBILITY, AND SUPPORT AWARDEES AND THEIR PARTNERS IN MEETING THEIR GOALS AND OBJECTIVES.",VA,VA66672,252,department-of-justice,ASST_NON_15POVC24GK00873HT_015
231635732,15POVC23GK00905HT,"ICF INCORPORATED, L.L.C.",2023-10-01,2026-09-30,2999942.0,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING (HT) IS A PROBLEM THAT REQUIRES A STRATEGIC, ORGANIZED, AND SUSTAINED COLLABORATIVE, MULTIDISCIPLINARY APPROACH. THE ICF-PROJECT ROADMAP (ICF-PRM) TEAM WILL MENTOR AND ASSIST CURRENT AND FUTURE OVC-FUNDED TFS ON THE CORE ELEMENTS OF A HIGH-FUNCTIONING TF WITH NATIONALLY RECOGNIZED PARTNERS AND ADVISORS THAT REPRESENT ALL DISCIPLINES OF AN ECM-TF. 

TO ACCOMPLISH THIS, ICF-PR WILL ASSESS STRENGTHS AND CHALLENGES FACED BY OVC HT ECM TF GRANTEES AND PROVIDE HT ECM TFS WITH WELL-MATCHED PEER LIAISONS THROUGH OUR TASK FORCE LIAISONS (TFLS). WE WILL USE THE ACCUMULATED TOOLS AND EXPERIENCES OF ICF, FEDERAL AGENCIES, OTHER TTA PROVIDERS AND THE FIELD TO STRENGTHEN AND SOLIDIFY TF OPERATIONS BY LEADING IN-PERSON AND VIRTUAL MEETINGS, TRAININGS, AND CONVENINGS.

CORE ELEMENTS OF THE PROJECT WILL INCLUDE: (1) A CADRE OF VETTED TFLS, WORKING GROUPS, SPECIAL ADVISORS, AND PARTNERS WHO HAVE DEMONSTRATED EXPERIENCE IN LAW ENFORCEMENT, PROSECUTION, AND CROSS-SYSTEM MULTIDISCIPLINARY COLLABORATIVE STRATEGIES, RETHINKING ALTERNATIVES TO JUSTICE, INCREASING LABOR TRAFFICKING RESPONSES AND CENTERING ALL WORK WITH AN EQUITY LENS TO PROVIDE SUSTAINED COACHING TO ECM TFS OVER THE AWARD PERIOD, (2) SITE ASSESSMENTS TO HELP SUPPORT SUCCESSFUL GRANT ADMINISTRATION AND PROGRAM OUTCOMES, (3) CONVENING OF WORKING GROUPS, PARTNERS AND FIELD COACHING TO IDENTIFY GAPS AND EMERGING ISSUES AS WELL AS PINPOINT TTA SOLUTIONS, (4) REAL TIME TTA DELIVERED WITH PEER-TO-PEER SUPPORT AND A DIVERSE GROUP OF THOUGHT LEADERS AND INNOVATORS TO ASSIST IN TA AVAILABLE TO ALL ECM TFS AND LASTLY, (5) DEVELOPMENT AND DELIVERY OF TOOLS AND RELATED MATERIALS TO SUPPORT CONTINUED LEARNING AND KNOWLEDGE EXPANSION SURROUNDING EVIDENCE-BASED PRACTICES.",VA,VA66672,252,department-of-justice,ASST_NON_15POVC23GK00905HT_015
231634693,15POVC21GK02595HT,"ICF INCORPORATED, L.L.C.",2021-10-01,2025-09-30,2997522.03,Department of Justice,Office of Justice Programs,16.320,"HUMAN TRAFFICKING (HT) IS A PROBLEM THAT MUST BE ADDRESSED BY SUPPORTING ROBUST TRAINING AND TECHNICAL ASSISTANCE (TTA) TO GRANTEE SERVICE PROVIDERS (GSPS) WHO ARE DEVELOPING, STRENGTHENING, OR EXPANDING PROGRAMS FOR VICTIMS OF HT, AS DEFINED BY THE TRAFFICKING VICTIMS PROTECTION ACT (TVPA) OF 2000. CF PROPOSES USING AN INCLUSIVE, ADAPTIVE TTA FRAMEWORK TO STRENGTHEN AND EXPAND THE SKILLS, EXPERTISE, AND CAPACITY OF HT GSPS. ICF WILL SUPPORT OVC’S HT GSPS AND THEIR PARTNERS IN MEETING AWARD GOALS AND OBJECTIVES AND PROVIDE PRACTITIONER-DRIVEN, EVIDENCE-BASED TTA ON DELIVERING TRAUMA-INFORMED SERVICES TO VICTIMS ACROSS THE COUNTRY AND U.S. TERRITORIES. ICF WILL ACCOMPLISH THIS BY ESTABLISHING OVC’S HUMAN TRAFFICKING COLLECTIVE (HTC). HTC WILL WORK CLOSELY WITH OVC, FEDERAL HT TTA PROVIDERS, AND KEY STAKEHOLDERS TO ADDRESS THE NEEDS OF GRANTEES AND THE BROADER ANTITRAFFICKING FIELD. HTC WILL DELIVER IN-DEPTH, PROACTIVE, AND TAILORED SUPPORT TO OVC GRANTEES THAT PROVIDE DIRECT SERVICES TO VICTIMS OF HT. HTC WILL: (1) PROVIDE TTA TO OVC GRANTEES IMPLEMENTING HT VICTIM SERVICE AWARDS, (2) DELIVER INTENSIVE PROACTIVE AND RESPONSIVE SUPPORT TO OVC GRANTEES IN THE FIRST YEAR OF THEIR NEW VICTIM SERVICE AWARDS, AND (3) PROVIDE ONGOING SUPPORT FOR GRANTEES IMPLEMENTING EXISTING AWARDS.",VA,VA66672,252,department-of-justice,ASST_NON_15POVC21GK02595HT_015
234906315,2015VTBXK001,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,2015-10-01,2020-09-30,2601869.07,Department of Justice,Office of Justice Programs,16.320,ENHANCING LAW ENFORCEMENT HUMAN TRAFFICKING TASK FORCE OPERATIONS,VA,VA01000,252,department-of-justice,ASST_NON_2015VTBXK001_015
234950417,2020VTBXK002,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,2020-10-01,2024-09-30,2500000.0,Department of Justice,Office of Justice Programs,16.320,IACP HUMAN TRAFFICKING TRAINING AND TECHNICAL ASSISTANCE,VA,VA01000,252,department-of-justice,ASST_NON_2020VTBXK002_015
231634217,15PNIJ24GG01747HT,COLORADO MESA UNIVERSITY,2025-01-01,2027-12-31,2495790.0,Department of Justice,Office of Justice Programs,16.320,"THE INTERNATIONAL ORGANIZATION FOR MIGRATION (IOM) HAS IDENTIFIED DIFFICULTIES WITH PRODUCING PREVALENCE ESTIMATES FOR TRAFFICKING IN PERSONS (TIP). THE LACK OF ACCURATE DATA OR ASSESSMENTS OF SCOPE PROBLEMATIZES IDENTIFICATION AND REFERRAL OF CASES TO PROTECTIVE ACTORS, SERVICE DELIVERY AND AN EFFECTIVE RESPONSE BY THE CRIMINAL JUSTICE SYSTEM. FURTHER, WITHOUT DISAGGREGATION OF THE DATA, E.G. BY ROUTE, MIGRATORY STATUS, DEMOGRAPHICS, AND FINANCES, IT IS DIFFICULT TO EVALUATE THE EFFECTIVENESS OF INTERVENTIONS. TIP PREVALENCE ESTIMATES FOR TRAFFICKING TO AND ACROSS THE MEXICO-UNITED STATES BORDER VARY WIDELY AND OFFER LIMITED INSIGHT INTO INDIVIDUAL ROUTES OR EXPERIENCES, BEYOND DEMOGRAPHICS AND SECTOR. THERE ARE TWO SIGNIFICANT AND RELATED GEOPOLITICAL OCCURRENCES THAT SHAPE A NEED FOR NEW DISAGGREGATED PREVALENCE ESTIMATES: THE EXPANSION OF TRANSNATIONAL CRIMINAL ORGANIZATIONS (TCOS) INTO THE TIP INDUSTRY, ALONGSIDE THE IMPLEMENTATION OF THE UNITED STATES MIGRATION PROTECTION PROTOCOL (MPP) AND TITLE 42 (T42) POLICIES. QUALITATIVE EVIDENCE SUGGESTS THESE CHANGES ARE DRIVING NEW TRAFFICKING PATTERNS INCLUDING INTERNATIONALIZATION OF THE ROUTES WITH MORE THAN 60 COUNTRY OF ORIGIN GROUPS NOW CROSSING VIA THE SOUTHERN BORDER. HOWEVER, EXISTING ESTIMATES AND TRAFFICKING MAPS FAIL TO ACCOUNT FOR THEIR IMPACTS. USING SURVIVOR INFORMED APPROACHES, THE PROPOSED PROJECTDEPTH (DISAGGREGATED ESTIMATES OF THE PREVALENCE OF TRAFFICKING IN HUMANS) WILL UNDERTAKE A TIP DESCRIPTIVE PREVALENCE ESTIMATE FOR INDIVIDUALS TRAFFICKED ACROSS THE SOUTHERN BORDER AT TWO KEY CROSSING POINTS: DEL RIO (EAGLE PASS, TEXAS) AND TUCSON (PHOENIX, AZ). DEPTH ADOPTS A MIXED METHODS, SURVIVOR INFORMED AND SPATIAL APPROACH EMPLOYING WIDE SCALE SURVEYS, SEMI-STRUCTURED INTERVIEWS, A SYSTEMATIC EVIDENCE REVIEW, AND SPATIAL ANALYSIS OF SECONDARY DATA SOURCES TO UNDERSTAND THE DISTRIBUTION OF VULNERABILITY AND HARM SPATIALLY, TEMPORALLY, AND SOCIALLY. ESTABLISHED COMMUNITY BASED PARTNERSTHE INTERNATIONAL RESCUE COMMITTEE AND MISSION BORDER HOPEWILL IMPLEMENT CULTURALLY RESPONSIVE, LINGUISTICALLY COMPETENT, AND TRAUMA INFORMED DATA COLLECTION ALONGSIDE THEIR EXISTING DIRECT SERVICES TO ARRIVING MIGRANTS. SURVIVOR AND MIGRANTS WILL BE INCORPORATEDIN DESIGN, IMPLEMENTATION, ANALYSIS AND DISSEMINATION AND CENTRALLY, A COMMUNITY ADVISORY BOARD OF LIVED EXPERIENCE EXPERTS WILL PARTICIPATE ACROSS THE RESEARCH PROCESS. BY INCORPORATING SURVIVOR INFORMED APPROACHES AND SPATIAL DATA ANALYSIS, DEPTH WILL OFFER NEW CONTEXTUALLY SPECIFIC AND GEOGRAPHICALLY DEFINED INSIGHTS INTO THE PREVALENCE AND CHARACTERISTICS OF TIP WITHIN THE CURRENT GEOPOLITICAL CONTEXT. IN TURN, DEPTH WILL PROVIDE DATA DRIVEN POLICY RECOMMENDATIONS WITH STAKEHOLDER TARGETS AND RECOMMENDATIONS, TRAINING TOOLKITS FOR DIRECT SERVICE PROVIDERS AND STAKEHOLDERS, A ROADMAP TO LEGAL REFORM, AND BEST PRACTICES FOR COPRODUCED RESEARCH DESIGN AND IMPLEMENTATION.",CO,CO31660,252,department-of-justice,ASST_NON_15PNIJ24GG01747HT_015
234950444,2020VTBXK033,FREEDOM NETWORK USA,2020-10-01,2023-09-30,2143163.0,Department of Justice,Office of Justice Programs,16.320,FREEDOM NETWORK TRAINING INSTITUTE HOUSING TRAINING AND TECHNICAL ASSISTANCE PROJECT,DC,DC50000,252,department-of-justice,ASST_NON_2020VTBXK033_015
234950150,2020VMBX0005,COUNTY OF ALAMEDA,2021-01-01,2021-12-31,2000000.0,Department of Justice,Office of Justice Programs,16.320,HUMAN EXPLOITATION AND TRAFFICKING (HEAT) WATCH: COLLABORATIVE SERVICES FOR MINOR VICTIMS OF SEX TRAFFICKING IN ALAMEDA COUNTY,CA,CA53000,252,department-of-justice,ASST_NON_2020VMBX0005_015
